"Tb_Code","Tb_Desc","Tb_Type","Tb_Short","Tb_Sort"
1,,"CPE",,0
2,"*** ""Sous les étoiles","CPE",,0
3,"*** A la Bonne Garde","CPE",,0
4,"*** À la bonne garde","CPE",,0
5,"*** Ahuntsic","CPE",,0
6,"*** Alliance de Beauport","CPE",,0
7,"*** Amigator","CPE",,0
8,"*** Ami-Gator","CPE",,0
9,"*** Au palais des merveilles","CPE",,0
10,"*** Au pied de l'Échelle","CPE",,0
11,"*** Au soleil levant","CPE",,0
12,"*** Aurore Boréale","CPE",,0
13,"*** Aux portes du matin","CPE",,0
14,"*** Baliballon","CPE",,0
15,"*** Bali-ballon","CPE",,0
16,"*** Balillon","CPE",,0
17,"*** Balliballon","CPE",,0
18,"*** Balli-ballon","CPE",,0
19,"*** Bambinerie","CPE",,0
20,"*** Beauport","CPE",,0
21,"*** Bonaventure","CPE",,0
22,"*** Bonnaventure","CPE",,0
23,"*** Bonne aventure","CPE",,0
24,"*** Bout en train","CPE",,0
25,"*** Boute en train","CPE",,0
26,"*** Boute-en-train","CPE",,0
27,"*** Bout-en-train","CPE",,0
28,"*** Cabanon","CPE",,0
29,"*** Cadet Roussel","CPE",,0
30,"*** Calimero","CPE",,0
31,"*** Caliméro","CPE",,0
32,"*** Calinours","CPE",,0
33,"*** Carosse citrouille","CPE",,0
34,"*** Carrosse citrouille","CPE",,0
35,"*** Cerf-volant","CPE",,0
36,"*** Chat perché","CPE",,0
37,"*** Chez ma tante","CPE",,0
38,"*** Chez moi chez toi","CPE",,0
39,"*** Chez-moi, Chez-toi","CPE",,0
40,"*** Chicoutimi","CPE",,0
41,"*** CPE Cadéroussel","CPE",,0
42,"*** CPE de la pointe","CPE",,0
43,"*** CPE des petits élans","CPE",,0
44,"*** CPE l'escale","CPE",,0
45,"*** Croque la vie","CPE",,0
46,"*** de Beauport","CPE",,0
47,"*** de Fleurimont","CPE",,0
48,"*** de la Baie","CPE",,0
49,"*** de Matane","CPE",,0
50,"*** Des Appalaches","CPE",,0
51,"*** des Hautes marées","CPE",,0
52,"*** Des petits élans","CPE",,0
53,"*** Des premiers pas","CPE",,0
54,"*** Deux montagnes","CPE",,0
55,"*** Deux-montagnes","CPE",,0
56,"*** du Grand Chicoutimi","CPE",,0
57,"*** Du Haut St-Francois","CPE",,0
58,"*** Du soleil à la lune","CPE",,0
59,"*** du Témiscouata","CPE",,0
60,"*** Fami-garde","CPE",,0
61,"*** Familiagarde","CPE",,0
62,"*** Familigarde","CPE",,0
63,"*** Famili-garde","CPE",,0
64,"*** Familigarde de Granby","CPE",,0
65,"*** Famili-garde Estrie","CPE",,0
66,"*** Famili-Gard'Estrie","CPE",,0
67,"*** Fardoche","CPE",,0
68,"*** Feux follets","CPE",,0
69,"*** Fleurimont","CPE",,0
70,"*** Force vive","CPE",,0
71,"*** Frimousse","CPE",,0
72,"*** Gaminville","CPE",,0
73,"*** Gatinerie","CPE",,0
74,"*** Grand Chicoutimi","CPE",,0
75,"*** Grande ourse","CPE",,0
76,"*** Gribouilli","CPE",,0
77,"*** Gribouillie","CPE",,0
78,"*** Gribouillis","CPE",,0
79,"*** Gros becs","CPE",,0
80,"*** Haut St-Francois","CPE",,0
81,"*** Haut St-François","CPE",,0
82,"*** Jardins de fruits","CPE",,0
83,"*** Joie de vivre","CPE",,0
84,"*** Jolis coeurs","CPE",,0
85,"*** Jonquière","CPE",,0
86,"*** Joyeux calinours","CPE",,0
