"Pk_Code","Pk_LkCode","Pk_PrCode","Pk_Prix","Pk_Qte","Pk_Notes","cPr","Pk_Sub1","Pk_Sub2","Pk_Sub3","Pk_Sub4","Pk_Sub5","Pk_Sub6","Pk_Sub7","Pk_Sub8","Pk_Sub9","Pk_Sub10"
4797,345779,9,62.49,5,,,,,,,,,,,,
4798,345780,72,0,99,,,,,,,,,,,,
4799,345781,9,61.92,5,,,,,,,,,,,,
4800,257470,9,61.92,5,,,,,,,,,,,,
4801,257462,9,61.92,5,,,,,,,,,,,,
4802,221270,12,44.37,2,,,,,,,,,,,,
4803,221270,2,72.17,7,,,,,,,,,,,,
4804,221272,12,44.37,2,,,,,,,,,,,,
4805,221272,2,72.17,7,,,,,,,,,,,,
4806,345782,2,72.17,7,,,,,,,,,,,,
4807,345783,2,72.17,7,"<div>+12.65</div>",,"A","CP-1",,,,,,,,
4808,345784,2,72.17,7,,,,,,,,,,,,
4809,345785,2,72.17,7,,,,,,,,,,,,
4810,345786,2,72.17,7,,,,,,,,,,,,
4811,345787,2,72.17,7,,,,,,,,,,,,
4812,345788,2,72.17,7,,,,,,,,,,,,
4813,345789,2,72.17,7,,,,,,,,,,,,
4814,345790,2,72.17,7,,,,,,,,,,,,
4815,345791,2,72.17,7,,,,,,,,,,,,
4816,117062,14,66.65,6,,,,,,,,,,,,
4818,345792,9,61.92,5,,,,,,,,,,,,
4819,345793,9,61.92,5,,,,,,,,,,,,
4820,345794,9,61.92,5,,,,,,,,,,,,
4821,345795,9,61.92,5,,,,,,,,,,,,
4822,345796,9,61.92,5,,,,,,,,,,,,
4823,345797,9,61.92,5,,,,,,,,,,,,
4824,345798,9,61.92,5,,,,,,,,,,,,
4825,345799,15,58.87,4,,,,,,,,,,,,
4826,345800,15,62.49,4,,,,,,,,,,,,
4827,345801,15,55.25,4,,,,,,,,,,,,
4828,345802,13,35.26,1,,,,,,,,,,,,
4829,345803,13,35.26,1,,,,,,,,,,,,
4830,345804,13,35.26,1,,,,,,,,,,,,
4831,345805,13,35.26,1,,,,,,,,,,,,
4832,345806,13,35.26,1,,,,,,,,,,,,
4833,345807,13,35.26,1,,,,,,,,,,,,
4834,345808,13,35.26,1,,,,,,,,,,,,
4835,345809,13,35.26,1,,,,,,,,,,,,
4836,345810,13,35.26,1,,,,,,,,,,,,
4837,345811,13,35.26,1,,,,,,,,,,,,
4838,345812,13,35.26,1,,,,,,,,,,,,
4839,345813,63,46.25,6,,,,,,,,,,,,
4840,345814,33,42.54,6,"<div>À la maison</div>",,,,,,,,,,,
4841,345815,1,55.14,4,,,,,,,,,,,,
4842,345816,1,55.14,4,,,,,,,,,,,,
4843,345817,1,55.14,4,,,,,,,,,,,,
4844,345818,1,55.14,4,,,,,,,,,,,,
4845,345819,1,55.14,4,,,,,,,,,,,,
4846,345820,1,55.14,4,,,,,,,,,,,,
4847,345821,1,55.14,4,,,,,,,,,,,,
4848,345822,14,67.26,6,,,,,,,,,,,,
4849,345823,14,67.26,6,,,,,,,,,,,,
4850,345824,14,67.26,6,,,,,,,,,,,,
4851,345825,63,46.25,6,,,,,,,,,,,,
4852,345826,57,63.23,9,,,,,,,,,,,,
4853,345827,63,46.25,6,,,,,,,,,,,,
4854,345827,19,60.27,6,,,,,,,,,,,,
4855,345828,63,46.25,6,,,,,,,,,,,,
4856,345829,9,68.41,5,,,,,,,,,,,,
4857,345830,13,35.26,1,,,,,,,,,,,,
4858,345831,12,44.37,2,,,,,,,,,,,,
4859,345832,12,44.37,2,,,,,,,,,,,,
4860,345833,12,44.37,2,,,,,,,,,,,,
4861,345834,12,44.37,2,,,,,,,,,,,,
4862,345835,12,44.37,2,,,,,,,,,,,,
4863,345836,12,44.37,2,,,,,,,,,,,,
4864,345837,12,44.37,2,,,,,,,,,,,,
4865,345838,12,44.37,2,,,,,,,,,,,,
4866,345839,12,44.37,2,,,,,,,,,,,,
4867,345840,12,44.37,2,,,,,,,,,,,,
4868,345841,12,,2,,,,,,,,,,,,
4869,345842,13,35.26,1,,,,,,,,,,,,
4870,345843,14,73.7,6,,,,,,,,,,,,
4871,345844,15,58.33,4,,,,,,,,,,,,
4873,345845,9,68.42,5,,,,,,,,,,,,
4874,345846,14,66.65,6,,,,,,,,,,,,
4884,345856,63,46.25,6,,,,,,,,,,,,
4885,345857,2,72.17,7,,,,,,,,,,,,
4886,345858,22,75.76,12,,,,,,,,,,,,
4896,345868,14,66.65,6,,,,,,,,,,,,
4897,345869,15,58.33,4,,,,,,,,,,,,
4901,345871,14,73.69,6,,,,,,,,,,,,
4902,134846,12,44.37,2,,,,,,,,,,,,
4904,134848,12,44.37,2,,,,,,,,,,,,
4905,345873,63,46.25,6,,,,,,,,,,,,
4906,345874,63,46.25,6,,,,,,,,,,,,
4907,345875,12,44.37,4,,,,,,,,,,,,
4908,224964,1,55.14,4,,,,,,,,,,,,
4909,150968,1,55.14,4,,,,,,,,,,,,
4910,150966,1,55.14,4,,,,,,,,,,,,
4912,149900,33,42.15,6,,,,,,,,,,,,
